iter	Passed	Remaining
711	14338	5799
712	14353	5777
713	14367	5755
714	14381	5732
715	14393	5709
716	14406	5686
717	14421	5664
718	14434	5641
719	14448	5618
720	14460	5595
721	14473	5572
722	14493	5552
723	14506	5530
724	14520	5507
725	14536	5486
726	14553	5464
727	14567	5442
728	14582	5420
729	14599	5399
730	14614	5378
731	14630	5356
732	14646	5334
733	14663	5313
734	14678	5292
735	14696	5271
736	14710	5249
737	14725	5227
738	14740	5205
739	14757	5185
740	14771	5163
741	14787	5141
742	14801	5119
743	14814	5097
744	14827	5075
745	14841	5053
746	14855	5031
747	14869	5009
748	14883	4987
749	14902	4967
750	14917	4946
751	14933	4924
752	14949	4903
753	14963	4881
754	14979	4860
755	14992	4838
756	15006	4817
757	15021	4795
758	15037	4774
759	15053	4753
760	15066	4731
761	15081	4710
762	15093	4688
763	15108	4666
764	15123	4645
765	15137	4624
766	15149	4602
767	15162	4580
768	15179	4559
769	15190	4537
770	15203	4515
771	15218	4494
772	15232	4473
773	15245	4451
774	15259	4430
775	15273	4408
776	15288	4387
777	15302	4366
778	15315	4344
779	15327	4323
780	15340	4301
781	15357	4281
782	15370	4259
783	15385	4238
784	15399	4217
785	15412	4196
786	15428	4175
787	15440	4154
788	15453	4132
789	15468	4111
790	15486	4092
791	15503	4071
792	15516	4050
793	15528	4028
794	15541	4007
795	15555	3986
796	15570	3965
797	15587	3945
798	15601	3924
799	15616	3904
800	15630	3883
801	15644	3862
802	15659	3841
803	15674	3821
804	15690	3800
805	15705	3780
806	15719	3759
807	15737	3739
808	15751	3718
809	15766	3698
810	15782	3678
811	15798	3657
812	15812	3637
813	15828	3616
814	15845	3596
815	15861	3576
816	15875	3555
817	15892	3535
818	15909	3516
819	15924	3495
820	15942	3475
821	15955	3455
822	15971	3434
823	15985	3414
824	15998	3393
825	16013	3373
826	16028	3353
827	16042	3332
828	16058	3312
829	16074	3292
830	16086	3271
831	16101	3251
832	16115	3230
833	16129	3210
834	16143	3189
835	16158	3169
836	16172	3149
837	16185	3128
838	16197	3108
839	16211	3087
840	16224	3067
841	16238	3047
842	16250	3026
843	16262	3005
844	16275	2985
845	16287	2964
846	16300	2944
847	16311	2923
848	16323	2903
849	16335	2882
850	16346	2862
851	16357	2841
852	16370	2821
853	16382	2800
854	16393	2780
855	16405	2759
856	16424	2740
857	16440	2720
858	16451	2700
859	16463	2680
860	16476	2659
861	16489	2639
862	16505	2620
863	16519	2600
864	16530	2579
865	16542	2559
866	16553	2539
867	16565	2519
868	16577	2499
869	16588	2478
870	16599	2458
871	16611	2438
872	16623	2418
873	16635	2398
874	16649	2378
875	16661	2358
876	16675	2338
877	16687	2318
878	16699	2298
879	16713	2279
880	16726	2259
881	16740	2239
882	16754	2220
883	16766	2200
884	16784	2181
885	16801	2161
886	16818	2142
887	16833	2123
888	16846	2103
889	16861	2084
890	16872	2064
891	16885	2044
892	16898	2024
893	16910	2005
894	16923	1985
895	16937	1965
896	16950	1946
897	16965	1927
898	16980	1907
899	16996	1888
900	17013	1869
901	17042	1851
902	17063	1832
903	17081	1813
904	17098	1794
905	17119	1776
